260,SINGH,116749,4.29%,4.48%,82.77%,1.15%,4.81%,2.50%,0.065%,655,,,
261,VEGA,116673,5.53%,0.56%,0.73%,0.22%,0.29%,92.68%,0.065%,654,,,
262,BISHOP,116618,84.44%,10.14%,0.61%,0.57%,1.86%,2.37%,0.065%,654,,,
263,MONTGOMERY,115953,67.86%,26.23%,0.59%,0.61%,2.37%,2.35%,0.065%,650,,,
264,OLIVER,115900,64.19%,27.45%,0.68%,0.74%,2.43%,4.52%,0.065%,650,,,
265,JENSEN,115679,93.97%,0.44%,0.73%,0.82%,1.40%,2.64%,0.065%,649,,,
266,HARVEY,115662,68.00%,25.00%,0.52%,1.71%,2.25%,2.52%,0.065%,649,,,
267,WILLIAMSON,114959,77.17%,17.41%,0.50%,0.70%,1.94%,2.27%,0.064%,645,,,
268,GILBERT,114940,77.80%,15.92%,0.57%,0.69%,2.04%,2.98%,0.064%,645,,,
269,DEAN,114030,76.61%,16.82%,1.06%,0.68%,2.20%,2.63%,0.064%,639,,,
270,SIMS,113374,54.29%,39.89%,0.41%,0.55%,2.62%,2.24%,0.064%,636,,,
271,ESPINOZA,112154,4.03%,0.23%,0.38%,0.27%,0.17%,94.91%,0.063%,629,,,
